date,code,close,preclose,volume,isST,MA 10,MA 20,MA 50,MA 150,MA 200,VMA 20,VMA 50,volatility,volatility_max,vscore,score,total_score
2016/3/16,sz.300059,35.31,35.76,65705358,0,35.436,37.021,39.8394,46.322,51.73105,66015506.05,69467250.6,0.037874659,0.054076087,-5,0,-5
2016/3/17,sz.300059,38.84,35.31,167176416,0,35.705,36.8915,39.5316,46.27686667,51.5315,71235612.45,71954618.82,0.093776401,0.088568486,-5,0,-5
2016/3/18,sz.300059,42.72,38.84,175774030,0,36.557,36.936,39.3454,46.2388,51.359,77446834.65,74695708.16,0.090073998,0.090589888,-5,0,-5
2016/3/21,sz.300059,45.01,42.72,211925839,0,37.53,37.0605,39.309,46.23613333,51.16405,84133913.45,77827212.12,0.0046875,0.061364122,-5,0,-5
2016/3/22,sz.300059,43.83,45.01,120607003,0,38.263,37.182,39.2998,46.2364,50.9906,87421455.2,78519173.58,0.007817889,0.032808989,-5,0,-5
2016/3/23,sz.300059,46.6,43.83,154680667,0,39.381,37.4575,39.3208,46.23566667,50.8591,92763287.85,79734880.18,0.066117593,0.073829787,-5,0,-5
2016/3/24,sz.300059,44.55,46.6,154297696,0,40.391,37.836,39.3918,46.19013333,50.7104,96641457.35,82228209,0.014380531,0.059196617,-5,0,-5
2016/3/25,sz.300059,43.76,44.55,88170789,0,41.297,38.1805,39.439,46.1366,50.53465,98731168.25,82140174.66,0.005454545,0.042505593,-5,0,-5
2016/3/28,sz.300059,43.04,43.76,71227096,0,41.942,38.6735,39.5018,46.09453333,50.31585,98483958.5,81841138.66,0.024257538,0.039793165,-5,0,-5
2016/3/29,sz.300059,42.79,43.04,88717983,0,42.645,39.088,39.5244,46.04,50.0524,99061491.55,81721449.58,0.000467181,0.047965447,-5,0,-5
2016/3/30,sz.300059,44.97,42.79,131479104,0,43.611,39.5235,39.634,46.00713333,49.76815,101260858.3,82946258.96,0.036175115,0.052087912,-5,0,-5
2016/3/31,sz.300059,44.3,44.97,88924425,0,44.157,39.931,39.661,45.98293333,49.52765,101756692.3,82017402.4,0.011160714,0.024724062,-5,0,-5
2016/4/1,sz.300059,43,44.3,70761908,0,44.185,40.371,39.6956,45.9736,49.3059,101680906.4,81616954.4,0.022727273,0.042659405,-5,0,-5
2016/4/5,sz.300059,44.74,43,93526419,0,44.158,40.844,39.7318,45.96386667,49.10535,103113017.8,81586646.62,0.040465116,0.070087336,-5,0,-5
2016/4/6,sz.300059,44.2,44.74,59592216,0,44.195,41.229,39.726,45.95646667,48.88685,101717930,80680189.44,0.002257336,0.018880647,-5,0,-5
2016/4/7,sz.300059,42.8,44.2,58072177,0,43.815,41.598,39.7288,45.96693333,48.67715,102026712.8,79952578.58,0.037336932,0.038850213,-5,0,-5
2016/4/8,sz.300059,42.5,42.8,59047557,0,43.61,42.0005,39.7634,46.00286667,48.47615,102495363.8,79744363.72,0.004016064,0.037875289,-5,0,-5
2016/4/11,sz.300059,43.29,42.5,82763537,0,43.563,42.43,39.8052,46.0688,48.32045,104577173,80109629.92,0.011418132,0.025900901,-5,0,-5
2016/4/12,sz.300059,44.5,43.29,82879558,0,43.709,42.8255,39.8806,46.16506667,48.1698,103964765.8,80732779.98,0.017142857,0.040224719,-5,0,-5
2016/4/13,sz.300059,45.35,44.5,134772182,0,43.965,43.305,40.0454,46.24693333,47.9861,108005098,82014849.4,0.001103753,0.042553191,-5,0,-5
2016/4/14,sz.300059,46,45.35,72949467,0,44.068,43.8395,40.1998,46.31773333,47.8461,108367303.5,81751083.48,0.005025126,0.029475043,-5,0,-5
2016/4/15,sz.300059,45.29,46,61731261,0,44.167,44.162,40.372,46.3984,47.69755,103095045.7,81864928.02,0.03658796,0.046003816,-5,0,-5
2016/4/18,sz.300059,23.85,25.11,107982809,0,42.252,43.2185,40.078,46.33546667,47.4258,99705484.65,82489995,0.020935961,0.037279803,-5,0,-5
